document_id,cik,company,form,filing_date,report_date,year,filing_path,raw_bytes,size_bucket,p_count,div_count,span_count,table_count,td_count,th_count,html_heading_tag_count,heading_candidate_count,heading_inside_table_count,heading_inside_table_ratio,heading_reachable_count,heading_reachable_ratio,maximum_heading_table_depth,dominant_heading_tag,dominant_text_tag,structural_signature,structural_family,current_parser_risk,parser_archetype,selection_order
sec_0001423689_0001423689-25-000073,0001423689,AGNC Investment Corp.,10-Q,2025-08-01,2025-06-30,2025,sec/0001423689/0001423689-25-000073/agnc-20250630.htm,2850551,large,0,1217,6203,62,15924,0,0,26,13,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,1
sec_0000712034_0001193125-26-328057,0000712034,ACCO BRANDS Corp,10-Q,2026-07-31,2026-06-30,2026,sec/0000712034/0001193125-26-328057/acco-20260630.htm,3793659,large,8502,234,9430,61,8567,0,0,39,26,0.6667,13,0.3333,1,span,span,heading_tag=span|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_c05fcaa157,medium,heading=span|reach=medium|table=medium|p=present,2
sec_0001160420_0001683168-26-003957,0001160420,"Adia Nutrition, Inc.",10-Q,2026-05-15,2026-03-31,2026,sec/0001160420/0001683168-26-003957/adia_i10q-033126.htm,1015659,medium,807,68,1042,71,5314,0,0,26,13,0.5,13,0.5,1,b,span,heading_tag=b|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_6c1c5050d8,medium,heading=b|reach=medium|table=medium|p=present,3
sec_0000927003_0001558370-25-010287,0000927003,ADVANCED ENERGY INDUSTRIES INC,10-Q,2025-08-05,2025-06-30,2025,sec/0000927003/0001558370-25-010287/aeis-20250630x10q.htm,2417334,large,7356,1326,4568,81,6920,11,0,28,15,0.5357,13,0.4643,1,p,p,heading_tag=p|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_55f55f7aa2,medium,heading=p|reach=medium|table=medium|p=present,4
sec_0001267238_0001267238-26-000027,0001267238,"ASSURANT, INC.",10-Q,2026-05-07,2026-03-31,2026,sec/0001267238/0001267238-26-000027/aiz-20260331.htm,1921935,medium,0,5011,3510,81,9883,0,0,11,2,0.1818,0,0.0,1,span,div,heading_tag=span|heading_reach=0|heading_table=low|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_0a484c4a62,high,heading=span|reach=0|table=low|p=absent,5
sec_0001672571_0001493152-26-038392,0001672571,Antiaging Quantum Living Inc.,10-Q,2026-08-14,2026-06-30,2026,sec/0001672571/0001493152-26-038392/form10-q.htm,726570,small,831,70,1447,67,2783,0,0,16,2,0.125,14,0.875,1,b,span,heading_tag=b|heading_reach=high|heading_table=low|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_80a77a6ef0,low,heading=b|reach=high|table=low|p=present,6
sec_0001984060_0001193125-26-206587,0001984060,Atlas Energy Solutions Inc.,10-Q,2026-05-05,2026-03-31,2026,sec/0001984060/0001193125-26-206587/aesi-20260331.htm,3254366,large,6355,396,7948,51,6102,0,0,16,13,0.8125,3,0.1875,1,span,span,heading_tag=span|heading_reach=low|heading_table=high|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_df810e5f45,high,heading=span|reach=low|table=high|p=present,7
sec_0002073553_0001493152-26-022496,0002073553,AI Infrastructure Acquisition Corp.,10-Q,2026-05-12,2026-03-31,2026,sec/0002073553/0001493152-26-022496/form10-q.htm,416935,small,520,54,832,43,1068,0,0,41,28,0.6829,13,0.3171,1,td,span,heading_tag=td|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=11_50|headings=11_50,SF_6c02e46b0a,medium,heading=td|reach=medium|table=medium|p=present,8
sec_0000946644_0001493152-25-011986,0000946644,AIM ImmunoTech Inc.,10-Q,2025-08-14,2025-06-30,2025,sec/0000946644/0001493152-25-011986/form10-q.htm,1165690,medium,1038,102,1866,141,3356,0,0,13,0,0.0,13,1.0,0,b,span,heading_tag=b|heading_reach=high|heading_table=0|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_63e140b634,low,heading=b|reach=high|table=0|p=present,9
sec_0000880984_0001493152-26-036270,0000880984,"ACORN ENERGY, INC.",10-Q,2026-08-06,2026-06-30,2026,sec/0000880984/0001493152-26-036270/form10-q.htm,996917,medium,688,64,1261,89,5961,0,0,16,14,0.875,2,0.125,1,b,span,heading_tag=b|heading_reach=low|heading_table=high|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_e6168f173f,high,heading=b|reach=low|table=high|p=present,10
sec_0002079173_0001193125-26-347016,0002079173,American Exceptionalism Acquisition Corp. A,10-Q,2026-08-12,2026-06-30,2026,sec/0002079173/0001193125-26-347016/d174666d10q.htm,452398,small,94,1160,19,26,1672,0,0,26,13,0.5,4,0.1538,1,p,div,heading_tag=p|heading_reach=low|heading_table=medium|p=51_250|div=251_plus|span=11_50|table=11_50|headings=11_50,SF_022658ca2e,high,heading=p|reach=low|table=medium|p=present,11
sec_0000899629_0000950170-25-100264,0000899629,ACADIA REALTY TRUST,10-Q,2025-07-30,2025-06-30,2025,sec/0000899629/0000950170-25-100264/akr-20250630.htm,7183320,very_large,16197,406,18469,69,16383,0,0,21,4,0.1905,17,0.8095,1,span,span,heading_tag=span|heading_reach=high|heading_table=low|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_2e33566791,low,heading=span|reach=high|table=low|p=present,12
sec_0001368514_0001140361-26-031445,0001368514,"ADMA BIOLOGICS, INC.",10-Q,2026-08-05,2026-06-30,2026,sec/0001368514/0001140361-26-031445/ef20075111_10q.htm,1693881,medium,0,2933,1023,48,9157,0,0,26,13,0.5,0,0.0,1,div,div,heading_tag=div|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_bf6e918102,high,heading=div|reach=0|table=medium|p=absent,13
sec_0001622996_0001640334-26-000824,0001622996,"ACRO BIOMEDICAL CO., LTD.",10-Q,2026-05-05,2026-03-31,2026,sec/0001622996/0001640334-26-000824/acbm_10q.htm,280507,small,1334,1,17,34,1362,0,0,13,7,0.5385,6,0.4615,1,strong,p,heading_tag=strong|heading_reach=medium|heading_table=medium|p=251_plus|div=1_10|span=11_50|table=11_50|headings=11_50,SF_73b209e930,medium,heading=strong|reach=medium|table=medium|p=present,14
sec_0000001750_0001104659-26-085459,0000001750,AAR CORP,10-K,2026-07-22,2026-05-31,2026,sec/0000001750/0001104659-26-085459/air-20260531x10k.htm,3591638,large,9513,2025,5052,178,8350,78,0,79,60,0.7595,19,0.2405,1,p,p,heading_tag=p|heading_reach=low|heading_table=high|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_857f1d7873,high,heading=p|reach=low|table=high|p=present,15
sec_0001267395_0001267395-18-000093,0001267395,ASPEN INSURANCE HOLDINGS LTD,10-Q,2018-08-08,2018-06-30,2018,sec/0001267395/0001267395-18-000093/ahl10-qq22018doc.htm,3239901,large,0,12802,0,195,12979,0,0,28,15,0.5357,0,0.0,1,font,div,heading_tag=font|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=0|table=51_250|headings=11_50,SF_b30f08a60f,high,heading=font|reach=0|table=medium|p=absent,16
sec_0000824142_0000824142-25-000199,0000824142,"AAON, INC.",10-Q,2025-11-06,2025-09-30,2025,sec/0000824142/0000824142-25-000199/aaon-20250930.htm,1695836,medium,0,1009,4003,74,8280,0,0,14,0,0.0,0,0.0,0,span,span,heading_tag=span|heading_reach=0|heading_table=0|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_eddc436353,high,heading=span|reach=0|table=0|p=absent,17
sec_0000821130_0000821130-25-000051,0000821130,"ARRAY DIGITAL INFRASTRUCTURE, INC.",10-Q,2025-08-11,2025-06-30,2025,sec/0000821130/0000821130-25-000051/usm-20250630.htm,1688644,medium,0,1189,4029,64,8260,0,0,10,10,1.0,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=high|p=0|div=251_plus|span=251_plus|table=51_250|headings=1_10,SF_71d9f53121,high,heading=span|reach=0|table=high|p=absent,18
sec_0001852016_0001193125-25-277283,0001852016,AltEnergy Acquisition Corp,10-Q,2025-11-12,2025-09-30,2025,sec/0001852016/0001193125-25-277283/d947746d10q.htm,886996,medium,174,1763,62,42,3498,0,14,24,11,0.4583,4,0.1667,1,td,div,heading_tag=td|heading_reach=low|heading_table=medium|p=51_250|div=251_plus|span=51_250|table=11_50|headings=11_50,SF_c46b104c34,high,heading=td|reach=low|table=medium|p=present,19
sec_0000943034_0000897101-22-001001,0000943034,AUTOSCOPE TECHNOLOGIES CORP,10-Q,2022-11-16,2022-09-30,2022,sec/0000943034/0000897101-22-001001/aatc-20220930.htm,1241807,medium,1372,267,2705,75,4535,0,2,36,13,0.3611,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_8ae8371fa2,high,heading=span|reach=0|table=medium|p=present,20
